stopID,pid,reason,stopCode,reasonText,reasonDetail,reasonExplanation
2443,1,Reasonable Suspicion,64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005,Officer witnessed commission of a crime,"staggering, unable to safely walk"
2444,1,Traffic Violation,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106,Moving Violation,Speeding
2447,1,Reasonable Suspicion,53072,415(1) PC - FIGHT IN PUBLIC PLACE (M) 53072,Matched suspect description,Both parties involved in argument.
2447,2,Reasonable Suspicion,53072,415(1) PC - FIGHT IN PUBLIC PLACE (M) 53072,Other Reasonable Suspicion of a crime,Both parties engaged in argument.
2448,1,Traffic Violation,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106,Moving Violation,UNSAFE DRIVING
2449,1,Reasonable Suspicion,13045,242 PC - BATTERY (M) 13045,Matched suspect description,matched description of suspect on 242 radio call.
2451,1,Reasonable Suspicion,64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005,Other Reasonable Suspicion of a crime,drunk
2453,1,Reasonable Suspicion,13219,245(A)(1) PC - ADW NOT FIREARM (F) 13219,Matched suspect description,"ARREST CONNECTED WITH 245A1, 594B1"
2453,1,Reasonable Suspicion,13219,245(A)(1) PC - ADW NOT FIREARM (F) 13219,Other Reasonable Suspicion of a crime,"ARREST CONNECTED WITH 245A1, 594B1"
2454,1,Traffic Violation,54099,4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099,"Non-moving Violation, including Registration Violation",Pursuit of justice
2455,1,Reasonable Suspicion,53072,415(1) PC - FIGHT IN PUBLIC PLACE (M) 53072,Matched suspect description,matched desc suspect seen fighting 
2456,1,Consensual Encounter resulting in a search,,,,fox was dupster diving at time of contact 
2457,1,Traffic Violation,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106,Moving Violation,driving bike with no front light at night 
2458,1,Traffic Violation,54141,21201(D) VC - BIKE HEADLIGHT/ETC VIOL (I) 54141,Equipment Violation,SUBJECT DID NOT HAVE A REAL LIGHT ON BIKE
2459,1,Reasonable Suspicion,64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005,Other Reasonable Suspicion of a crime,RADIO CALL REFUED TO LEAVE
2461,1,Reasonable Suspicion,32022,602 PC - TRESPASSING (M) 32022,Officer witnessed commission of a crime,The subject was asked to leave PB Shore Club
2462,1,Traffic Violation,54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098,Moving Violation,FAILURE TO STOP AT RED LIGHT
2463,1,Reasonable Suspicion,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000,Officer witnessed commission of a crime,engaging in sexual acts
2464,1,Reasonable Suspicion,65002,65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002,Officer witnessed commission of a crime,engaging in sexual acts
2465,1,Traffic Violation,54566,23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566,Moving Violation,cell phone
2467,1,Traffic Violation,54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644,Equipment Violation,no rear plate
2469,1,Traffic Violation,54159,21456(B) VC - PED AGAINST NO WALK SIGN (I) 54159,Moving Violation,SUBJECT CROSSED MISSION BAY DRIVE AGAINST SOLID RED HAND
2471,1,Reasonable Suspicion,13174,243(E)(1) PC - BAT:SPOUSE/EX SP/DATE/ETC (M) 13174,Matched suspect description,INVESTIGATING DV
2473,1,Traffic Violation,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106,Moving Violation,lidar @ 54 mph in a posted 35 mph zone
2474,1,Reasonable Suspicion,24067,10851(A) VC - TAKE VEH W/O OWNER CONSNT (M) 24067,Other Reasonable Suspicion of a crime,radio call
2475,1,Reasonable Suspicion,53072,415(1) PC - FIGHT IN PUBLIC PLACE (M) 53072,Officer witnessed commission of a crime,FIGHTING
2476,1,Reasonable Suspicion,53072,415(1) PC - FIGHT IN PUBLIC PLACE (M) 53072,Officer witnessed commission of a crime,fighting in street
2477,1,Traffic Violation,54398,21950(A) VC - FAIL YIELD TO PED:XWALKS (I) 54398,Moving Violation,suspect did not yield to peds almost striking three
2477,2,Traffic Violation,54398,21950(A) VC - FAIL YIELD TO PED:XWALKS (I) 54398,Moving Violation,subject was passenger.
2478,1,Reasonable Suspicion,32022,602 PC - TRESPASSING (M) 32022,Officer witnessed commission of a crime,REFUSAL TO LEAVE
2479,1,Reasonable Suspicion,53072,415(1) PC - FIGHT IN PUBLIC PLACE (M) 53072,Officer witnessed commission of a crime,group fighting
2479,2,Reasonable Suspicion,53072,415(1) PC - FIGHT IN PUBLIC PLACE (M) 53072,Officer witnessed commission of a crime,group fighting
2481,1,Reasonable Suspicion,99999,NA - XX ZZ - CODE NOT FOUND IN TABLE (X) 99999,Other Reasonable Suspicion of a crime,POTENTIAL WITNESS TO A CRIME. 
2482,1,Reasonable Suspicion,53072,415(1) PC - FIGHT IN PUBLIC PLACE (M) 53072,Officer witnessed commission of a crime,fighting in public
2483,1,Reasonable Suspicion,64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005,Officer witnessed commission of a crime,"creating a disturbance, fighting"
2484,1,Investigation to determine whether the person was truant,,,,Responded to a radio call
2485,1,Reasonable Suspicion,42104,23152(A) VC - DUI ALCOHOL (M) 42104,Other Reasonable Suspicion of a crime,dui collision
2486,1,Reasonable Suspicion,13174,243(E)(1) PC - BAT:SPOUSE/EX SP/DATE/ETC (M) 13174,Witness or Victim identification of Suspect at the scene,radio call to investigate a domestic violence
2487,1,Reasonable Suspicion,64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005,Matched suspect description,FIGHTING WITH GIRLFRIEND AFTER DRINKING
2488,1,Reasonable Suspicion,38081,273.5(A) PC - CRPL INJ:SPOUS/COHAB/DATE (M) 38081,Matched suspect description,INVESTIGATE 273.5(a).  
2489,1,Reasonable Suspicion,64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005,Officer witnessed commission of a crime,Fighting
2490,1,Reasonable Suspicion,64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005,Officer witnessed commission of a crime,Detained for disorderly conduct - Alcohol at a diner.  
2490,1,Reasonable Suspicion,64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005,Witness or Victim identification of Suspect at the scene,Detained for disorderly conduct - Alcohol at a diner.  
2491,1,Reasonable Suspicion,32082,647(H) PC - LOITER/ETC PRIVATE PROP (M) 32082,Other Reasonable Suspicion of a crime,Female passenger in vehicle illegally parked in handicap spot
2493,1,Reasonable Suspicion,35150,11173(C) HS - REP AS DR/ETC:GET C/SUB (F) 35150,Other Reasonable Suspicion of a crime,RADIO CALL REGARDING A SLEEPER 
2497,1,Reasonable Suspicion,53072,415(1) PC - FIGHT IN PUBLIC PLACE (M) 53072,Matched suspect description,CAUSING PROBLEMS
2499,1,Reasonable Suspicion,48122,148(A)(1) PC - OBSTRUCT/ETC PUB OFCR/ETC (M) 48122,Officer witnessed commission of a crime,SUBJECT INTEREFERED WITH OFFICERS WHO WERE BREAKING UP AN ACTIVE FIGHT
2500,1,Reasonable Suspicion,53073,415(2) PC - UNREASONABLE NOISE (M) 53073,Matched suspect description,"Was going to get a knife and ""End it."""
2501,1,Reasonable Suspicion,64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005,Officer witnessed commission of a crime,subject was physically fighting in public
2502,1,Reasonable Suspicion,64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005,Other Reasonable Suspicion of a crime,active fight in public
2503,1,Traffic Violation,54159,21456(B) VC - PED AGAINST NO WALK SIGN (I) 54159,Moving Violation,MALE WALKED AGAINST THE RED HAND ON THE WEST CURB LINE OF 700 05TH AVE
2504,1,Reasonable Suspicion,53072,415(1) PC - FIGHT IN PUBLIC PLACE (M) 53072,Actions indicative of engaging in violent crime,fighting in public
2505,1,Traffic Violation,54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098,Moving Violation,I had green light. Driver made left turn on red arrow in front of me.
2506,1,Traffic Violation,54145,21955 VC - JAYWALKING (I) 54145,Moving Violation,"walking in middle of street, unresponsive"
2507,1,Reasonable Suspicion,54145,21955 VC - JAYWALKING (I) 54145,Officer witnessed commission of a crime,Male walked across the street w/out using crosswalk 
2508,1,Reasonable Suspicion,64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005,Actions indicative of engaging in violent crime,MALE CHALLENGING OTHERS TO A PHYSICAL FIGHT WHILE OVERLY INTOXICATED
2508,1,Reasonable Suspicion,64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005,Other Reasonable Suspicion of a crime,MALE CHALLENGING OTHERS TO A PHYSICAL FIGHT WHILE OVERLY INTOXICATED
2509,1,Reasonable Suspicion,32017,555.2 PC - LOITER POSTED PROPERTY (M) 32017,Officer witnessed commission of a crime,Field interview
2510,1,Reasonable Suspicion,64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005,Officer witnessed commission of a crime,drunk in public
2511,1,Reasonable Suspicion,35143,11550 HS - UNDER INFLUENCE CNTL SUB (M) 35143,Matched suspect description,PERSON ODing ON NARCOTICS (MEDICAL CALL ONLY)
2511,1,Reasonable Suspicion,35143,11550 HS - UNDER INFLUENCE CNTL SUB (M) 35143,Other Reasonable Suspicion of a crime,PERSON ODing ON NARCOTICS (MEDICAL CALL ONLY)
2512,1,Traffic Violation,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106,Equipment Violation,Right front headlight out. Stop revealed registration expired
2513,1,Traffic Violation,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106,"Non-moving Violation, including Registration Violation",SLUMPED OVER IN A VEHICLE
2514,1,Reasonable Suspicion,41063,25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063,Officer witnessed commission of a crime,the male was holding an open can of beer
2516,1,Reasonable Suspicion,50084,273.6(A) PC - VIO ORD:PREVNT DOMES VIOL (M) 50084,Officer witnessed commission of a crime,violation of a TRO
2517,1,Reasonable Suspicion,23212,459.5 PC - SHOPLIFTING (F) 23212,Matched suspect description,SUBJECT DETAINED BY EMPLOYEE FOR SHOPLIFTING 
2518,1,Reasonable Suspicion,99990,NA - XX ZZ - COMMUNITY CARETAKING (X) 99990,Other Reasonable Suspicion of a crime,radio call
2519,1,Reasonable Suspicion,13220,245(A)(1) PC - ADW NOT FIREARM (M) 13220,Matched suspect description,SUBJECT STABBED VICTIM 
2520,1,Traffic Violation,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106,"Non-moving Violation, including Registration Violation",SUSPENDED DRIVER'S LICENSE
2521,1,Reasonable Suspicion,13219,245(A)(1) PC - ADW NOT FIREARM (F) 13219,Matched suspect description,suspect in stabbing radio call
2522,1,Reasonable Suspicion,13219,245(A)(1) PC - ADW NOT FIREARM (F) 13219,Matched suspect description,matched suspect description for stabbing
2523,1,Traffic Violation,54116,27150(A) VC - INADEQUATE MUFFLERS (I) 54116,Equipment Violation,Loud exhaust
2525,1,Reasonable Suspicion,35423,11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423,Officer witnessed commission of a crime,Found paraphernalia in backpack. 4th waiver.
2526,1,Traffic Violation,54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167,Moving Violation,stop sign
2527,1,Reasonable Suspicion,32022,602 PC - TRESPASSING (M) 32022,Matched suspect description,602 PC
2528,1,Reasonable Suspicion,53072,415(1) PC - FIGHT IN PUBLIC PLACE (M) 53072,Other Reasonable Suspicion of a crime,RADIO CALL
2528,2,Reasonable Suspicion,53072,415(1) PC - FIGHT IN PUBLIC PLACE (M) 53072,Other Reasonable Suspicion of a crime,RADIO CALL
2529,1,Reasonable Suspicion,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657,Officer witnessed commission of a crime,reg expired >6 mo
2530,1,Reasonable Suspicion,11084,243.4(E)(1) PC - SEXUAL BATT:SEX AROUSAL (M) 11084,Officer witnessed commission of a crime,radio call of a group of males and females fighting
2530,1,Reasonable Suspicion,11084,243.4(E)(1) PC - SEXUAL BATT:SEX AROUSAL (M) 11084,Witness or Victim identification of Suspect at the scene,radio call of a group of males and females fighting
2531,1,Reasonable Suspicion,23012,485 PC - APPROPR LOST PROP (F) 23012,Other Reasonable Suspicion of a crime,"Missappropriation of property, shopping carts"
2532,1,Reasonable Suspicion,13082,243(A) PC - BATTERY ON PERSON (M) 13082,Matched suspect description,radio call of a group of males and females fighting
2533,1,Reasonable Suspicion,32022,602 PC - TRESPASSING (M) 32022,Other Reasonable Suspicion of a crime,RADIO CALL FOR PROWLER IN BACK YARD. 
2534,1,Reasonable Suspicion,54330,22500 VC - PARKING/ETC VIO:SPEC CIRC (I) 54330,Matched suspect description,SLEEPING IN VEHICLE. RIPA DID NOT HAVE VIOLATION SO I ADDED ONE THAT DOESNT APPLY. 
2535,1,Reasonable Suspicion,54330,22500 VC - PARKING/ETC VIO:SPEC CIRC (I) 54330,Matched suspect description,SLEEPING IN VEHICLE. RIPA DOES NOT HAVE THE VIOLATION SO THE ONE ABOVE DOES NOT APPLY. CANT SUBMIT RIPA WITHOUT A VIOLATION IN THEIR LIST...
2536,1,Knowledge of outstanding arrest warrant/wanted person,,,,"subject is known to area, had warrant, records checked cleared. asked need of homeless assistance and declined"
2537,1,Reasonable Suspicion,32022,602 PC - TRESPASSING (M) 32022,Matched suspect description,RADIO CALL MALE NOT LEAVING ROOM
2538,1,Traffic Violation,54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644,Equipment Violation,NO FRONT PLATE
2539,1,Reasonable Suspicion,32111,647(E) PC - DIS CON:LODGE W/O CONSENT (M) 32111,Officer witnessed commission of a crime,Female sleeping on the beach 
2541,1,Reasonable Suspicion,23106,485 PC - APPROPR LOST PROP (M) 23106,Officer witnessed commission of a crime,shopping cart in poss
2542,1,Traffic Violation,54211,5202 VC - LICENSE PLATE DISPLAY VIO (I) 54211,Equipment Violation,no lp on front of car
2543,1,Reasonable Suspicion,53073,415(2) PC - UNREASONABLE NOISE (M) 53073,Other Reasonable Suspicion of a crime,Susp was creating disturbance in front of bisuness
2544,1,Traffic Violation,54122,21457(A) VC - FAIL STOP:FLASH RED LIGHT (I) 54122,Moving Violation,turned left on a red arrow
2545,1,Reasonable Suspicion,54145,21955 VC - JAYWALKING (I) 54145,Other Reasonable Suspicion of a crime,FIELD INTERVIEW
2546,1,Traffic Violation,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106,Moving Violation,STOPPED PAST THE LIMIT LINE FOR A RED SIGNAL
2547,1,Reasonable Suspicion,23012,485 PC - APPROPR LOST PROP (F) 23012,Officer witnessed commission of a crime,subj was in poss of shopping cart
2548,1,Traffic Violation,54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098,Moving Violation,RAN RED LIGHT
2549,1,Traffic Violation,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106,Moving Violation,LIMIT LINE VIOLATION
2550,1,Traffic Violation,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106,Moving Violation,holding cell phone
2551,1,Traffic Violation,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106,Moving Violation,ran red light
2552,1,Traffic Violation,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657,"Non-moving Violation, including Registration Violation",EXPIRED REGISTRATION 01/2018
2553,1,Reasonable Suspicion,29138,594(A) PC - VANDALISM (M) 29138,Witness or Victim identification of Suspect at the scene,Radio call of male throwing rocks at widnow
2554,1,Traffic Violation,54566,23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566,Moving Violation,Using cell phone while driving
2555,1,Traffic Violation,54319,22100(B) VC - LEFT TURN INTERSECTN VIOL (I) 54319,Moving Violation,Driver did not yield to oncoming traffic
2556,1,Traffic Violation,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106,Moving Violation,FAIL TO SIGNAL
2557,1,Knowledge of outstanding arrest warrant/wanted person,,,,Sleeping on beach 
2558,1,Reasonable Suspicion,13055,23110(A) VC - THROW SUBSTANCE AT VEH (M) 13055,Matched suspect description,poss 23110 sus
2559,1,Traffic Violation,54655,23123.5 VC - NO HND HLD DEVICE W/DRIVE (I) 54655,Moving Violation,CELL PHONE
2560,1,Reasonable Suspicion,23012,485 PC - APPROPR LOST PROP (F) 23012,Officer witnessed commission of a crime,subject was in poss of shopping cart
2561,1,Traffic Violation,54159,21456(B) VC - PED AGAINST NO WALK SIGN (I) 54159,Moving Violation,cross against red hand
2562,1,Traffic Violation,54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167,Moving Violation,DROVE PAST LIMIT LINE OF STOP SIGN
2563,1,Reasonable Suspicion,32022,602 PC - TRESPASSING (M) 32022,Other Reasonable Suspicion of a crime,FIELD INTERVIEW
2564,1,Traffic Violation,31267,22658(K)(1) VC - FAIL ACCEPT VALID PAYMENT (M) 31267,"Non-moving Violation, including Registration Violation","586 vehicle, 22651(K) CVC- not above listed 22658"
2565,1,Investigation to determine whether the person was truant,,,,radio call
2565,2,Investigation to determine whether the person was truant,,,,radio call
2566,1,Traffic Violation,54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167,Moving Violation,failed to stop at stop sign
2567,1,Traffic Violation,54566,23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566,Moving Violation,CELL PHONE
2568,1,Reasonable Suspicion,12004,211 PC - ROBBERY (F) 12004,Matched suspect description,211 STRONG ARM PEDESTRIAN
2569,1,Reasonable Suspicion,35143,11550 HS - UNDER INFLUENCE CNTL SUB (M) 35143,Other Reasonable Suspicion of a crime,FIELD INTERVIEW
2569,2,Reasonable Suspicion,35143,11550 HS - UNDER INFLUENCE CNTL SUB (M) 35143,Other Reasonable Suspicion of a crime,FIELD INTERVIEW
2570,1,Reasonable Suspicion,32111,647(E) PC - DIS CON:LODGE W/O CONSENT (M) 32111,Other Reasonable Suspicion of a crime,Call for service to this location for someone sleeping in a vehicle.
2571,1,Traffic Violation,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106,Moving Violation,RED ARROW
2572,1,Reasonable Suspicion,99990,NA - XX ZZ - COMMUNITY CARETAKING (X) 99990,Matched suspect description,5150 WI DANGER TO SELF RADIO CALL
2572,1,Reasonable Suspicion,99990,NA - XX ZZ - COMMUNITY CARETAKING (X) 99990,Other Reasonable Suspicion of a crime,5150 WI DANGER TO SELF RADIO CALL
2573,1,Traffic Violation,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657,"Non-moving Violation, including Registration Violation",EXP REGISTRATION
2575,1,Consensual Encounter resulting in a search,,,,Subject was encroching on sidewalk/4th waiver
2576,1,Reasonable Suspicion,54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167,Officer witnessed commission of a crime,Ran a Stop sign
2577,1,Reasonable Suspicion,42104,23152(A) VC - DUI ALCOHOL (M) 42104,Matched suspect description,1183 call for service
2578,1,Reasonable Suspicion,13082,243(A) PC - BATTERY ON PERSON (M) 13082,Witness or Victim identification of Suspect at the scene,Flag down regarding a 242
2579,1,Reasonable Suspicion,35454,11362.3(A)(4) HS - POSS MARIJ DRIVE/RIDE VEH (I) 35454,Witness or Victim identification of Suspect at the scene,Suspects were described by a radio call of smoking narc in vehicle.
2579,2,Reasonable Suspicion,35454,11362.3(A)(4) HS - POSS MARIJ DRIVE/RIDE VEH (I) 35454,Witness or Victim identification of Suspect at the scene,Suspects were described by a radio call of smoking narc in vehicle.
2579,3,Reasonable Suspicion,35454,11362.3(A)(4) HS - POSS MARIJ DRIVE/RIDE VEH (I) 35454,Witness or Victim identification of Suspect at the scene,Suspects were described by a radio call of smoking narc in vehicle.
2579,4,Reasonable Suspicion,35454,11362.3(A)(4) HS - POSS MARIJ DRIVE/RIDE VEH (I) 35454,Witness or Victim identification of Suspect at the scene,Suspects were described by a radio call of smoking narc in vehicle.
2580,1,Reasonable Suspicion,13174,243(E)(1) PC - BAT:SPOUSE/EX SP/DATE/ETC (M) 13174,Matched suspect description,DOMESTIC VIOLENCE CALL WITH SUBJECT DESCRIPTION
2581,1,Consensual Encounter resulting in a search,,,,check the welfare call
2582,1,Reasonable Suspicion,23012,485 PC - APPROPR LOST PROP (F) 23012,Officer witnessed commission of a crime,subj was in poss of shopping cart
2583,1,Traffic Violation,54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644,Equipment Violation,VERBAL ONLY
2584,1,Reasonable Suspicion,32022,602 PC - TRESPASSING (M) 32022,Matched suspect description,Radio call of transient in car port
2585,1,Reasonable Suspicion,13082,243(A) PC - BATTERY ON PERSON (M) 13082,Matched suspect description,Subject matched description of suspect reported to be hitting passersby.
2586,1,Reasonable Suspicion,35212,11550(A) HS - UNDER INFLUENCE CNTL SUB (M) 35212,Other Reasonable Suspicion of a crime,Subject was passed out on the sidewalk
2587,1,Reasonable Suspicion,23085,484(A)/488 PC - THFT PRSNL PROP/PTY THFT (M) 23085,Other Reasonable Suspicion of a crime,flagged down by walmart loss preventon
2588,1,Traffic Violation,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657,Equipment Violation,VERBAL ONLY. 
2589,1,Traffic Violation,54655,23123.5 VC - NO HND HLD DEVICE W/DRIVE (I) 54655,Moving Violation,USING CELL PHONE WHILE DRIVING
2590,1,Traffic Violation,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106,Moving Violation,Speeding OVER 15 MPH ABOVE SPEED LIMIT
2591,1,Traffic Violation,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106,Moving Violation,Speeding OVER 15 MPH ABOVE SPEED LIMIT
2592,1,Traffic Violation,54303,22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303,Moving Violation,Speeding
2593,1,Traffic Violation,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106,Moving Violation,Speeding OVER 15 MPH ABOVE POSTED SPEED LIMIT
2594,1,Reasonable Suspicion,23085,484(A)/488 PC - THFT PRSNL PROP/PTY THFT (M) 23085,Other Reasonable Suspicion of a crime,flogged down
2595,1,Traffic Violation,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106,Moving Violation,Speeding 13 MPH ABOVE POSTED SPD LIMIT
2596,1,Traffic Violation,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106,Moving Violation,Speeding 13 MPH ABOVE THE POSTED SPEED LIMIT
2597,1,Traffic Violation,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106,Moving Violation,Speeding 13 MPH ABOVE POSTED SPEED LIMIT
2598,1,Traffic Violation,54655,23123.5 VC - NO HND HLD DEVICE W/DRIVE (I) 54655,Moving Violation,CITE FOR 23123.5(A) CVC
2599,1,Traffic Violation,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106,Moving Violation,Speeding
2600,1,Traffic Violation,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106,Moving Violation,phone
2601,1,Traffic Violation,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106,Equipment Violation,"UNUSUAL, LOUD EXHAUST"
2602,1,Reasonable Suspicion,32111,647(E) PC - DIS CON:LODGE W/O CONSENT (M) 32111,Officer witnessed commission of a crime,MALE SITTING ON CURB WITH MULTIPLE BAGS OF ITEMS
2602,2,Reasonable Suspicion,32111,647(E) PC - DIS CON:LODGE W/O CONSENT (M) 32111,Other Reasonable Suspicion of a crime,MALE SLEEPING IN PUBLIC PARKING LOT..MULTIPLE BAGS OF ITEM
2603,1,Reasonable Suspicion,41063,25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063,Other Reasonable Suspicion of a crime,FIELD INTERVIEW
2603,2,Reasonable Suspicion,32022,602 PC - TRESPASSING (M) 32022,Other Reasonable Suspicion of a crime,FIELD INTERVIEW
